nombre,apellido,tarjeta,fecha_nacimiento,monto,comercio,fecha,tipo,edad
Rosa,Barrientos,1,1984-12-19,2171.59,Supermercados,2020-06-04,transaccion,41
Rosa,Barrientos,1,1984-12-19,1508.88,Supermercados,2020-01-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,1718.37,Gasolineras,2020-02-01,transaccion,41
Rosa,Barrientos,1,1984-12-19,1903.58,Supermercados,2020-06-30,transaccion,41
Rosa,Barrientos,1,1984-12-19,2186.81,Gasolineras,2020-04-07,transaccion,41
Rosa,Barrientos,1,1984-12-19,748.42,Restaurantes,2020-03-23,transaccion,41
Rosa,Barrientos,1,1984-12-19,1106.1,Supermercados,2020-01-24,transaccion,41
Rosa,Barrientos,1,1984-12-19,2325.27,Supermercados,2020-02-11,transaccion,41
Rosa,Barrientos,1,1984-12-19,2113.65,Restaurantes,2020-04-13,transaccion,41
Rosa,Barrientos,1,1984-12-19,1570.92,Restaurantes,2020-03-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,1464.71,Supermercados,2020-06-30,transaccion,41
Rosa,Barrientos,1,1984-12-19,1450.27,Electronicos,2020-05-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,1245.15,Comercio General,2020-06-24,transaccion,41
Rosa,Barrientos,1,1984-12-19,2466.17,Abarroterias,2020-03-10,transaccion,41
Rosa,Barrientos,1,1984-12-19,1025.47,Electronicos,2020-04-08,transaccion,41
Rosa,Barrientos,1,1984-12-19,898.82,Comercio General,2020-06-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,2384.7,Gasolineras,2020-04-28,transaccion,41
Rosa,Barrientos,1,1984-12-19,1909.12,Gasolineras,2020-04-28,transaccion,41
Rosa,Barrientos,1,1984-12-19,710.8,Restaurantes,2020-01-05,transaccion,41
Rosa,Barrientos,1,1984-12-19,1363.19,Supermercados,2020-06-04,transaccion,41
Rosa,Barrientos,1,1984-12-19,2013.45,Restaurantes,2020-02-08,transaccion,41
Rosa,Barrientos,1,1984-12-19,1830.92,Gasolineras,2020-03-02,transaccion,41
Rosa,Barrientos,1,1984-12-19,1060.07,Farmacias,2020-04-05,transaccion,41
Rosa,Barrientos,1,1984-12-19,2332.18,Supermercados,2020-04-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,1497.66,Restaurantes,2020-04-17,transaccion,41
Rosa,Barrientos,1,1984-12-19,1710.63,Supermercados,2020-03-12,transaccion,41
Rosa,Barrientos,1,1984-12-19,1748.2,Ropa,2020-01-08,transaccion,41
Rosa,Barrientos,1,1984-12-19,717.61,Tiendas por Departamento,2020-03-01,transaccion,41
Rosa,Barrientos,1,1984-12-19,1708.04,Restaurantes,2020-06-05,transaccion,41
Rosa,Barrientos,1,1984-12-19,901.17,Farmacias,2020-01-08,transaccion,41
Rosa,Barrientos,1,1984-12-19,1847.93,Restaurantes,2020-03-31,transaccion,41
Rosa,Barrientos,1,1984-12-19,2272.19,Supermercados,2020-03-31,transaccion,41
Rosa,Barrientos,1,1984-12-19,678.64,Farmacias,2020-04-30,transaccion,41
Rosa,Barrientos,1,1984-12-19,2170.24,Gasolineras,2020-04-27,transaccion,41
Rosa,Barrientos,1,1984-12-19,2869.9,Supermercados,2020-02-12,transaccion,41
Rosa,Barrientos,1,1984-12-19,1453.38,Comercio General,2020-05-01,transaccion,41
Rosa,Barrientos,1,1984-12-19,2516.29,Ropa,2020-06-04,transaccion,41
Rosa,Barrientos,1,1984-12-19,1918.02,Ropa,2020-05-22,transaccion,41
Rosa,Barrientos,1,1984-12-19,2276.56,Abarroterias,2020-04-11,transaccion,41
Rosa,Barrientos,1,1984-12-19,1193.36,Comercio General,2020-06-21,transaccion,41
Rosa,Barrientos,1,1984-12-19,1019.99,Supermercados,2020-04-09,transaccion,41
Rosa,Barrientos,1,1984-12-19,1440.26,Supermercados,2020-01-18,transaccion,41
Rosa,Barrientos,1,1984-12-19,2087.36,Comercio General,2020-06-24,transaccion,41
Rosa,Barrientos,1,1984-12-19,1135.88,Restaurantes,2020-03-01,transaccion,41
Rosa,Barrientos,1,1984-12-19,1854.19,Restaurantes,2020-04-25,transaccion,41
Rosa,Barrientos,1,1984-12-19,1556.01,Gasolineras,2020-05-07,transaccion,41
Rosa,Barrientos,1,1984-12-19,651.52,Supermercados,2020-02-27,transaccion,41
Juan,Media,2,1954-01-08,1019.72,Supermercados,2020-03-05,transaccion,72
Juan,Media,2,1954-01-08,1692.02,Gasolineras,2020-05-06,transaccion,72
Juan,Media,2,1954-01-08,1546.58,Electronicos,2020-02-13,transaccion,72
Juan,Media,2,1954-01-08,1345.0,Tiendas por Departamento,2020-04-28,transaccion,72
Juan,Media,2,1954-01-08,1604.53,Supermercados,2020-01-14,transaccion,72
Juan,Media,2,1954-01-08,1308.77,Comercio General,2020-06-05,transaccion,72
Juan,Media,2,1954-01-08,1837.5,Restaurantes,2020-01-09,transaccion,72
Juan,Media,2,1954-01-08,2220.27,Restaurantes,2020-02-15,transaccion,72
Juan,Media,2,1954-01-08,1850.6,Restaurantes,2020-06-08,transaccion,72
Juan,Media,2,1954-01-08,950.63,Farmacias,2020-05-16,transaccion,72
Juan,Media,2,1954-01-08,564.45,Supermercados,2020-04-14,transaccion,72
Juan,Media,2,1954-01-08,833.36,Abarroterias,2020-01-22,transaccion,72
Juan,Media,2,1954-01-08,733.73,Restaurantes,2020-02-04,transaccion,72
Juan,Media,2,1954-01-08,1685.02,Supermercados,2020-02-12,transaccion,72
Juan,Media,2,1954-01-08,2580.1,Electronicos,2020-01-17,transaccion,72
Juan,Media,2,1954-01-08,1243.2,Gasolineras,2020-05-26,transaccion,72
Juan,Media,2,1954-01-08,2129.25,Supermercados,2020-04-03,transaccion,72
Juan,Media,2,1954-01-08,1081.39,Restaurantes,2020-02-23,transaccion,72
Juan,Media,2,1954-01-08,1772.01,Restaurantes,2020-04-22,transaccion,72
